,number,value,datetime_start,datetime_complete,duration,params_AAPL_COST_beta_win,params_AAPL_COST_stop_loss,params_AAPL_COST_trade_freq,params_AAPL_COST_z_entry,params_AAPL_COST_z_exit,params_AAPL_COST_z_stop_scaler,params_AAPL_COST_z_win,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_ALGN_ATVI_beta_win,params_ALGN_ATVI_stop_loss,params_ALGN_ATVI_trade_freq,params_ALGN_ATVI_z_entry,params_ALGN_ATVI_z_exit,params_ALGN_ATVI_z_stop_scaler,params_ALGN_ATVI_z_win,params_ATVI_DDOG_beta_win,params_ATVI_DDOG_stop_loss,params_ATVI_DDOG_trade_freq,params_ATVI_DDOG_z_entry,params_ATVI_DDOG_z_exit,params_ATVI_DDOG_z_stop_scaler,params_ATVI_DDOG_z_win,params_AZN_DLTR_beta_win,params_AZN_DLTR_stop_loss,params_AZN_DLTR_trade_freq,params_AZN_DLTR_z_entry,params_AZN_DLTR_z_exit,params_AZN_DLTR_z_stop_scaler,params_AZN_DLTR_z_win,params_BKNG_EA_beta_win,params_BKNG_EA_stop_loss,params_BKNG_EA_trade_freq,params_BKNG_EA_z_entry,params_BKNG_EA_z_exit,params_BKNG_EA_z_stop_scaler,params_BKNG_EA_z_win,params_CMCSA_INTC_beta_win,params_CMCSA_INTC_stop_loss,params_CMCSA_INTC_trade_freq,params_CMCSA_INTC_z_entry,params_CMCSA_INTC_z_exit,params_CMCSA_INTC_z_stop_scaler,params_CMCSA_INTC_z_win,params_CSX_PAYX_beta_win,params_CSX_PAYX_stop_loss,params_CSX_PAYX_trade_freq,params_CSX_PAYX_z_entry,params_CSX_PAYX_z_exit,params_CSX_PAYX_z_stop_scaler,params_CSX_PAYX_z_win,params_CTSH_DOCU_beta_win,params_CTSH_DOCU_stop_loss,params_CTSH_DOCU_trade_freq,params_CTSH_DOCU_z_entry,params_CTSH_DOCU_z_exit,params_CTSH_DOCU_z_stop_scaler,params_CTSH_DOCU_z_win,params_DLTR_KHC_beta_win,params_DLTR_KHC_stop_loss,params_DLTR_KHC_trade_freq,params_DLTR_KHC_z_entry,params_DLTR_KHC_z_exit,params_DLTR_KHC_z_stop_scaler,params_DLTR_KHC_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_EA_MU_beta_win,params_EA_MU_stop_loss,params_EA_MU_trade_freq,params_EA_MU_z_entry,params_EA_MU_z_exit,params_EA_MU_z_stop_scaler,params_EA_MU_z_win,params_FISV_INTU_beta_win,params_FISV_INTU_stop_loss,params_FISV_INTU_trade_freq,params_FISV_INTU_z_entry,params_FISV_INTU_z_exit,params_FISV_INTU_z_stop_scaler,params_FISV_INTU_z_win,params_FISV_WDAY_beta_win,params_FISV_WDAY_stop_loss,params_FISV_WDAY_trade_freq,params_FISV_WDAY_z_entry,params_FISV_WDAY_z_exit,params_FISV_WDAY_z_stop_scaler,params_FISV_WDAY_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_INTU_WDAY_beta_win,params_INTU_WDAY_stop_loss,params_INTU_WDAY_trade_freq,params_INTU_WDAY_z_entry,params_INTU_WDAY_z_exit,params_INTU_WDAY_z_stop_scaler,params_INTU_WDAY_z_win,params_NTES_VRTX_beta_win,params_NTES_VRTX_stop_loss,params_NTES_VRTX_trade_freq,params_NTES_VRTX_z_entry,params_NTES_VRTX_z_exit,params_NTES_VRTX_z_stop_scaler,params_NTES_VRTX_z_win,params_ORLY_VRTX_beta_win,params_ORLY_VRTX_stop_loss,params_ORLY_VRTX_trade_freq,params_ORLY_VRTX_z_entry,params_ORLY_VRTX_z_exit,params_ORLY_VRTX_z_stop_scaler,params_ORLY_VRTX_z_win,params_PYPL_WDAY_beta_win,params_PYPL_WDAY_stop_loss,params_PYPL_WDAY_trade_freq,params_PYPL_WDAY_z_entry,params_PYPL_WDAY_z_exit,params_PYPL_WDAY_z_stop_scaler,params_PYPL_WDAY_z_win,params_buffer_capital,params_pairs_to_trade,state
60,60,1.7207424143214742,2025-06-21 19:25:59.689060,2025-06-21 19:26:07.436061,0 days 00:00:07.747001,,,,,,,,2552.0,0.02,2m,2.2,0.0,1.5,456.0,4656.0,0.01,4m,2.2,0.8,1.0,448.0,3168.0,0.015,2m,2.8,0.2,1.5,496.0,3544.0,0.015,2m,2.0,0.8,0.5,1016.0,,,,,,,,4448.0,0.02,4m,2.0,0.2,1.5,296.0,4216.0,0.01,5m,2.6,0.8,1.5,144.0,,,,,,,,,,,,,,,2984.0,0.01,4m,2.6,1.0,2.0,352.0,5592,0.02,3m,2.2,0.6000000000000001,1.0,448,1912.0,0.01,2m,2.8,0.4,1.0,880.0,4584.0,0.02,3m,2.6,0.4,1.0,360.0,6496.0,0.015,4m,1.0,0.2,2.0,584.0,3968.0,0.01,1m,1.8,1.0,1.5,136.0,7784.0,0.01,1m,2.8,0.2,1.5,800.0,6504.0,0.02,1m,2.0,0.0,2.0,472.0,7432.0,0.015,4m,1.6,0.6000000000000001,1.5,728.0,4184.0,0.02,4m,2.0,0.4,2.0,400.0,0.2,16,COMPLETE
61,61,4.675101775276041,2025-06-21 19:26:07.530896,2025-06-21 19:26:14.358422,0 days 00:00:06.827526,,,,,,,,3304.0,0.02,2m,2.2,0.0,1.5,312.0,5568.0,0.01,2m,2.2,1.0,1.0,336.0,4144.0,0.015,2m,2.4000000000000004,0.0,2.0,184.0,2896.0,0.015,5m,1.6,0.8,0.5,632.0,,,,,,,,5840.0,0.02,4m,1.6,0.2,0.5,208.0,3160.0,0.01,3m,2.6,0.8,1.0,392.0,1536.0,0.015,4m,1.8,0.6000000000000001,0.5,792.0,8120.0,0.01,4m,1.4,0.4,1.5,104.0,2328.0,0.015,3m,2.8,1.0,0.5,304.0,3352,0.02,3m,1.6,0.8,1.0,392,6704.0,0.01,5m,2.4000000000000004,0.2,1.0,264.0,7896.0,0.01,4m,1.0,0.4,2.0,280.0,7856.0,0.01,4m,1.0,0.0,1.5,504.0,3016.0,0.01,1m,2.0,1.0,1.0,296.0,7984.0,0.01,1m,2.6,0.4,1.5,664.0,7112.0,0.02,4m,1.0,0.0,1.5,136.0,7016.0,0.015,1m,2.2,0.6000000000000001,1.5,328.0,4992.0,0.02,4m,1.8,0.6000000000000001,2.0,232.0,0.1,18,COMPLETE
62,62,2.8036829902566347,2025-06-21 19:26:14.472293,2025-06-21 19:26:20.789689,0 days 00:00:06.317396,,,,,,,,3104.0,0.02,2m,2.2,0.0,1.5,216.0,5928.0,0.01,2m,2.2,1.0,1.0,272.0,3736.0,0.015,2m,2.4000000000000004,0.0,2.0,176.0,2920.0,0.015,1m,1.6,0.8,0.5,624.0,,,,,,,,5856.0,0.02,4m,1.6,0.2,0.5,216.0,3344.0,0.01,3m,2.6,0.8,1.0,264.0,1632.0,0.015,4m,1.4,0.4,2.0,712.0,,,,,,,,7512.0,0.015,3m,2.8,1.0,0.5,232.0,3504,0.02,3m,2.0,0.8,1.0,392,6864.0,0.01,5m,2.2,0.2,1.0,256.0,7944.0,0.01,4m,1.0,0.4,2.0,272.0,7896.0,0.01,4m,1.0,0.0,1.5,504.0,3080.0,0.01,1m,2.0,1.0,1.0,240.0,7352.0,0.01,1m,3.0,0.2,1.5,592.0,7632.0,0.02,4m,1.0,0.0,1.5,136.0,7120.0,0.015,5m,2.4000000000000004,0.6000000000000001,1.5,376.0,4616.0,0.02,4m,1.6,0.6000000000000001,2.0,232.0,0.05,17,COMPLETE
63,63,0.5788583753590288,2025-06-21 19:26:20.887941,2025-06-21 19:26:23.693431,0 days 00:00:02.805490,,,,,,,,3384.0,0.02,2m,2.0,0.0,1.5,400.0,4408.0,0.01,2m,2.4000000000000004,1.0,1.0,336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4544.0,0.01,3m,3.0,0.8,1.0,480.0,,,,,,,,,,,,,,,,,,,,,,5048,0.02,3m,1.8,0.8,1.0,488,,,,,,,,,,,,,,,6944.0,0.01,4m,1.2,0.0,1.5,456.0,,,,,,,,7912.0,0.01,1m,2.6,0.4,1.5,640.0,,,,,,,,,,,,,,,4136.0,0.02,4m,1.4,0.4,2.0,184.0,0.1,7,COMPLETE
64,64,1.8783316087488697,2025-06-21 19:26:23.773089,2025-06-21 19:26:29.654533,0 days 00:00:05.881444,,,,,,,,2096.0,0.02,2m,2.2,1.0,1.5,504.0,5456.0,0.01,2m,2.0,1.0,1.0,568.0,4248.0,0.015,2m,2.6,0.0,2.0,64.0,2432.0,0.015,3m,1.8,0.8,0.5,792.0,,,,,,,,5376.0,0.02,4m,1.2,0.2,0.5,120.0,3744.0,0.01,3m,2.6,0.6000000000000001,1.0,344.0,,,,,,,,,,,,,,,3496.0,0.015,3m,3.0,1.0,0.5,176.0,3344,0.02,3m,2.0,0.8,1.0,384,7824.0,0.01,5m,2.4000000000000004,0.2,1.0,176.0,6024.0,0.01,4m,1.4,0.4,2.0,192.0,7352.0,0.01,4m,1.0,0.0,1.5,560.0,8040.0,0.01,1m,2.0,0.4,1.0,304.0,8168.0,0.01,1m,2.6,0.4,1.5,720.0,7008.0,0.02,4m,1.4,0.0,1.5,216.0,5912.0,0.015,1m,2.2,0.4,1.5,488.0,5008.0,0.02,4m,1.8,0.6000000000000001,2.0,288.0,0.1,16,COMPLETE
65,65,5.334705772339796,2025-06-21 19:26:29.751798,2025-06-21 19:26:36.814213,0 days 00:00:07.062415,,,,,,,,3848.0,0.02,2m,1.8,0.0,1.5,304.0,5072.0,0.01,5m,2.2,0.8,1.0,384.0,1912.0,0.015,2m,2.4000000000000004,0.2,2.0,240.0,2128.0,0.015,2m,1.8,1.0,0.5,720.0,,,,,,,,6032.0,0.02,4m,1.4,0.2,1.0,248.0,3096.0,0.01,1m,2.8,0.8,1.0,512.0,2704.0,0.01,4m,2.8,0.6000000000000001,0.5,872.0,8088.0,0.01,4m,1.2,0.2,2.0,64.0,4144.0,0.015,3m,2.8,1.0,0.5,368.0,4088,0.02,4m,2.4000000000000004,1.0,1.0,336,7000.0,0.01,5m,2.6,0.0,1.0,64.0,5504.0,0.01,4m,1.2,0.2,0.5,240.0,4896.0,0.01,4m,1.2,0.2,1.5,408.0,3592.0,0.01,1m,2.4000000000000004,1.0,0.5,264.0,5856.0,0.01,1m,2.4000000000000004,0.2,1.5,672.0,7928.0,0.015,4m,1.2,0.0,1.5,296.0,7448.0,0.015,3m,2.4000000000000004,0.6000000000000001,1.0,440.0,2984.0,0.02,4m,1.6,0.4,2.0,136.0,0.05,18,COMPLETE
66,66,2.7816045939429093,2025-06-21 19:26:36.915914,2025-06-21 19:26:44.671046,0 days 00:00:07.755132,8040.0,0.02,4m,3.0,1.0,2.0,72.0,2800.0,0.02,2m,1.6,0.0,1.5,344.0,5104.0,0.01,5m,2.2,0.6000000000000001,1.0,480.0,1808.0,0.015,2m,2.4000000000000004,0.2,2.0,176.0,2152.0,0.015,4m,1.6,1.0,0.5,696.0,3184.0,0.01,2m,1.6,0.0,2.0,64.0,6000.0,0.02,4m,1.4,0.4,1.0,168.0,2080.0,0.01,1m,2.8,0.8,1.0,504.0,2664.0,0.01,4m,2.8,0.6000000000000001,0.5,864.0,8032.0,0.01,4m,1.2,0.2,2.0,128.0,3056.0,0.015,3m,2.8,1.0,0.5,1024.0,3776,0.02,4m,2.4000000000000004,1.0,1.5,304,6976.0,0.01,5m,2.6,0.0,1.0,64.0,5504.0,0.01,4m,1.2,0.2,0.5,240.0,4776.0,0.01,4m,1.0,0.2,1.5,408.0,2368.0,0.01,4m,2.2,1.0,0.5,256.0,5912.0,0.01,1m,2.4000000000000004,0.2,2.0,776.0,8160.0,0.015,3m,1.6,0.0,1.0,304.0,7576.0,0.015,3m,2.2,0.6000000000000001,0.5,440.0,2960.0,0.02,4m,1.4,0.4,2.0,128.0,0.05,20,COMPLETE
67,67,3.8624241844995875,2025-06-21 19:26:44.780088,2025-06-21 19:26:52.139360,0 days 00:00:07.359272,,,,,,,,3768.0,0.02,2m,1.8,0.0,1.5,296.0,4720.0,0.01,5m,2.4000000000000004,0.8,0.5,520.0,1976.0,0.015,2m,2.4000000000000004,0.2,2.0,224.0,1064.0,0.015,5m,1.8,1.0,0.5,736.0,3352.0,0.015,1m,3.0,0.4,1.5,816.0,5144.0,0.02,4m,1.6,0.8,1.0,240.0,3024.0,0.01,1m,3.0,1.0,0.5,536.0,1488.0,0.01,4m,2.8,0.6000000000000001,0.5,744.0,7112.0,0.01,4m,1.4,0.2,2.0,64.0,2440.0,0.015,3m,1.0,1.0,0.5,312.0,4568,0.02,4m,2.6,1.0,1.0,216,6656.0,0.01,5m,1.8,0.0,1.0,104.0,5064.0,0.01,4m,1.2,0.4,0.5,128.0,3160.0,0.01,4m,1.2,0.2,2.0,352.0,3480.0,0.01,3m,2.0,1.0,0.5,216.0,4152.0,0.01,4m,2.8,0.0,1.5,688.0,7712.0,0.015,4m,1.2,0.0,1.5,272.0,6840.0,0.015,3m,2.0,0.6000000000000001,1.0,360.0,3408.0,0.02,4m,1.6,0.4,2.0,240.0,0.05,19,COMPLETE
68,68,3.468475306558953,2025-06-21 19:26:52.307669,2025-06-21 19:27:05.114466,0 days 00:00:12.806797,,,,,,,,3784.0,0.02,2m,1.8,0.2,1.5,192.0,2896.0,0.01,5m,2.4000000000000004,0.8,0.5,520.0,1832.0,0.015,2m,2.6,0.4,2.0,240.0,1104.0,0.015,2m,1.8,1.0,0.5,728.0,3312.0,0.015,1m,3.0,0.4,1.5,816.0,5112.0,0.02,4m,1.6,1.0,1.0,312.0,3088.0,0.01,1m,3.0,1.0,0.5,544.0,1400.0,0.01,4m,2.8,0.6000000000000001,0.5,744.0,7168.0,0.01,4m,1.4,0.2,2.0,80.0,2376.0,0.015,3m,1.4,1.0,0.5,376.0,3240,0.02,4m,2.8,1.0,1.5,216,7440.0,0.015,5m,1.8,0.0,1.0,96.0,3824.0,0.01,4m,1.2,0.4,0.5,120.0,3672.0,0.01,4m,1.4,0.2,2.0,264.0,3216.0,0.01,3m,2.0,1.0,0.5,128.0,3104.0,0.01,4m,2.8,0.0,1.5,736.0,7632.0,0.015,2m,1.4,0.0,1.5,280.0,6904.0,0.015,3m,2.0,0.4,1.0,384.0,2024.0,0.02,4m,1.6,0.4,1.5,88.0,0.05,19,COMPLETE
69,69,1.1821913717830044,2025-06-21 19:27:05.206243,2025-06-21 19:27:12.136563,0 days 00:00:06.930320,,,,,,,,2312.0,0.015,2m,1.6,0.0,2.0,304.0,4760.0,0.01,5m,2.6,0.6000000000000001,0.5,664.0,1024.0,0.015,2m,2.4000000000000004,0.2,0.5,128.0,1640.0,0.015,5m,2.0,1.0,1.0,648.0,,,,,,,,6200.0,0.02,4m,1.4,0.8,1.0,240.0,2560.0,0.01,1m,3.0,1.0,0.5,624.0,1624.0,0.01,4m,2.6,0.6000000000000001,0.5,760.0,8136.0,0.01,4m,1.2,0.4,1.5,176.0,3680.0,0.015,3m,1.2,1.0,0.5,320.0,2736,0.02,4m,2.6,1.0,1.0,264,7880.0,0.01,5m,1.6,0.0,1.0,480.0,5056.0,0.01,4m,1.2,0.4,0.5,120.0,3848.0,0.01,4m,1.4,0.4,2.0,360.0,3576.0,0.01,3m,2.4000000000000004,1.0,0.5,192.0,4152.0,0.01,4m,2.8,0.0,1.5,680.0,7904.0,0.015,4m,1.8,0.0,2.0,344.0,1368.0,0.015,3m,1.8,0.6000000000000001,0.5,512.0,2208.0,0.01,4m,1.6,0.2,2.0,232.0,0.05,18,COMPLETE
70,70,2.357271251027856,2025-06-21 19:27:12.242585,2025-06-21 19:27:19.217751,0 days 00:00:06.975166,,,,,,,,1160.0,0.02,2m,1.4,0.4,1.5,736.0,3816.0,0.01,5m,2.4000000000000004,0.4,0.5,440.0,2640.0,0.02,2m,2.4000000000000004,0.2,2.0,240.0,1288.0,0.015,2m,1.6,1.0,1.5,808.0,3112.0,0.015,1m,2.6,0.2,1.5,816.0,7000.0,0.02,4m,1.8,0.8,1.5,392.0,1624.0,0.01,1m,2.8,1.0,0.5,696.0,2552.0,0.01,4m,2.8,0.4,0.5,856.0,7256.0,0.01,4m,1.4,0.0,2.0,368.0,2824.0,0.015,3m,1.6,1.0,1.0,248.0,4528,0.02,4m,2.6,1.0,0.5,184,6736.0,0.01,5m,1.8,0.0,1.0,744.0,4696.0,0.015,4m,1.0,0.2,0.5,176.0,2600.0,0.01,4m,1.2,0.2,2.0,432.0,2552.0,0.02,3m,1.8,1.0,0.5,320.0,4816.0,0.01,4m,3.0,0.0,1.0,896.0,7904.0,0.015,4m,1.4,0.8,1.5,432.0,7640.0,0.01,3m,2.0,0.6000000000000001,1.0,576.0,2944.0,0.015,4m,1.2,0.4,2.0,136.0,0.05,19,COMPLETE
71,71,2.9378522698049094,2025-06-21 19:27:19.329939,2025-06-21 19:27:26.663795,0 days 00:00:07.333856,1512.0,0.01,5m,1.0,0.4,0.5,520.0,3528.0,0.02,2m,1.8,0.0,1.5,288.0,4968.0,0.01,5m,2.2,0.8,1.0,352.0,1720.0,0.015,1m,2.6,0.0,2.0,360.0,1864.0,0.015,5m,1.8,1.0,0.5,136.0,2288.0,0.01,3m,1.6,0.6000000000000001,2.0,752.0,5696.0,0.02,4m,1.6,0.8,1.0,208.0,3344.0,0.01,1m,3.0,0.8,0.5,368.0,1608.0,0.015,4m,2.6,0.6000000000000001,0.5,904.0,6728.0,0.01,4m,1.2,0.4,2.0,280.0,2496.0,0.015,3m,1.0,1.0,0.5,208.0,4136,0.02,4m,2.4000000000000004,0.8,1.0,336,6424.0,0.01,5m,1.6,0.2,1.0,112.0,5448.0,0.01,4m,1.0,0.4,0.5,304.0,4480.0,0.01,4m,1.2,0.0,1.5,344.0,6240.0,0.01,1m,2.2,1.0,0.5,216.0,4480.0,0.01,4m,2.4000000000000004,0.2,1.5,624.0,7536.0,0.015,4m,1.2,0.0,1.5,1024.0,7152.0,0.015,3m,2.4000000000000004,0.6000000000000001,1.0,424.0,3440.0,0.02,4m,1.6,0.6000000000000001,2.0,192.0,0.1,20,COMPLETE
72,72,0.34973384521706713,2025-06-21 19:27:26.766565,2025-06-21 19:27:33.757309,0 days 00:00:06.990744,,,,,,,,3056.0,0.02,2m,1.8,0.0,1.5,664.0,4360.0,0.01,5m,2.0,0.8,1.0,520.0,3584.0,0.015,2m,2.4000000000000004,0.2,2.0,120.0,2888.0,0.015,5m,1.8,1.0,0.5,712.0,,,,,,,,5472.0,0.02,4m,2.8,0.6000000000000001,1.0,104.0,2912.0,0.02,5m,2.8,0.0,1.0,416.0,2592.0,0.015,4m,2.8,0.6000000000000001,1.0,704.0,7536.0,0.01,4m,1.4,0.2,1.5,488.0,3160.0,0.015,3m,2.6,1.0,0.5,96.0,4744,0.02,4m,2.8,1.0,1.0,288,7088.0,0.01,5m,2.0,0.0,1.0,176.0,5704.0,0.01,4m,1.2,0.4,0.5,280.0,5128.0,0.01,4m,1.0,0.2,2.0,240.0,2864.0,0.01,1m,2.0,1.0,0.5,256.0,4160.0,0.01,1m,2.6,0.2,1.5,680.0,7112.0,0.01,4m,1.2,0.2,1.5,672.0,6856.0,0.015,3m,2.2,0.6000000000000001,1.0,344.0,2376.0,0.02,5m,1.4,0.4,2.0,240.0,0.05,18,COMPLETE
73,73,1.7681805933927015,2025-06-21 19:27:33.852571,2025-06-21 19:27:40.650487,0 days 00:00:06.797916,,,,,,,,4192.0,0.02,2m,2.0,0.0,1.5,440.0,5176.0,0.01,5m,2.2,0.2,0.5,392.0,2312.0,0.015,2m,2.2,0.0,2.0,472.0,2136.0,0.015,5m,1.8,1.0,0.5,640.0,,,,,,,,4928.0,0.02,3m,1.6,0.2,1.0,144.0,2760.0,0.01,1m,2.8,0.8,1.0,456.0,5312.0,0.01,4m,2.4000000000000004,0.6000000000000001,0.5,936.0,,,,,,,,1784.0,0.01,3m,1.8,1.0,0.5,152.0,3736,0.02,4m,2.6,0.6000000000000001,1.0,424,6104.0,0.01,4m,2.6,0.0,1.0,64.0,6432.0,0.01,4m,2.4000000000000004,0.4,0.5,224.0,2864.0,0.01,4m,1.0,0.6000000000000001,1.5,488.0,4456.0,0.01,3m,2.4000000000000004,1.0,0.5,328.0,5168.0,0.01,1m,2.8,0.0,1.5,544.0,6520.0,0.015,4m,1.0,0.0,1.5,112.0,7856.0,0.015,3m,2.4000000000000004,0.4,1.0,488.0,3288.0,0.02,4m,1.8,0.4,2.0,280.0,0.1,17,COMPLETE
74,74,2.1595197794558887,2025-06-21 19:27:40.744792,2025-06-21 19:27:46.686642,0 days 00:00:05.941850,,,,,,,,3344.0,0.02,2m,2.0,0.0,1.5,152.0,6360.0,0.01,2m,2.0,0.8,1.0,1008.0,4120.0,0.015,2m,2.8,0.0,2.0,576.0,3896.0,0.015,5m,2.0,0.8,0.5,752.0,,,,,,,,6504.0,0.02,4m,1.4,0.2,0.5,192.0,2216.0,0.01,3m,2.6,1.0,1.0,312.0,,,,,,,,,,,,,,,2160.0,0.015,5m,1.2,1.0,0.5,320.0,5016,0.02,4m,2.4000000000000004,0.8,1.0,232,6768.0,0.01,5m,1.0,1.0,1.0,232.0,5280.0,0.01,3m,1.4,0.6000000000000001,2.0,64.0,5504.0,0.01,1m,1.2,0.4,2.0,648.0,3208.0,0.01,1m,2.2,0.2,1.0,208.0,7736.0,0.01,4m,2.6,0.2,1.5,600.0,7832.0,0.02,3m,1.2,0.0,1.5,264.0,6296.0,0.015,5m,2.0,0.6000000000000001,0.5,248.0,3784.0,0.02,4m,1.6,0.6000000000000001,2.0,160.0,0.15000000000000002,16,COMPLETE
75,75,-0.9232363859901311,2025-06-21 19:27:46.806884,2025-06-21 19:27:54.062515,0 days 00:00:07.255631,,,,,,,,7720.0,0.02,2m,1.6,0.0,1.5,368.0,5808.0,0.01,2m,2.4000000000000004,0.8,1.0,568.0,5064.0,0.015,2m,2.6,0.2,2.0,224.0,2472.0,0.015,5m,1.6,1.0,0.5,888.0,,,,,,,,5856.0,0.02,1m,1.8,1.0,1.5,328.0,4000.0,0.01,1m,3.0,0.8,0.5,528.0,6112.0,0.015,2m,1.8,0.4,0.5,800.0,6392.0,0.01,1m,1.8,0.0,2.0,152.0,3864.0,0.015,2m,3.0,1.0,0.5,400.0,3448,0.02,2m,2.2,0.8,1.0,296,6496.0,0.01,4m,2.8,0.6000000000000001,1.0,144.0,6200.0,0.01,2m,1.0,0.2,0.5,376.0,1064.0,0.01,4m,1.0,0.2,1.5,608.0,3976.0,0.01,4m,2.2,1.0,0.5,272.0,7072.0,0.01,5m,2.4000000000000004,1.0,1.5,712.0,6728.0,0.015,4m,1.0,0.2,1.5,208.0,5104.0,0.015,1m,2.2,0.6000000000000001,2.0,352.0,2816.0,0.02,4m,2.0,0.6000000000000001,2.0,248.0,0.05,18,COMPLETE
76,76,2.659860890294078,2025-06-21 19:27:54.147147,2025-06-21 19:28:01.672494,0 days 00:00:07.525347,,,,,,,,3640.0,0.02,3m,2.2,0.0,1.5,208.0,4656.0,0.01,5m,2.2,1.0,1.0,928.0,3088.0,0.015,4m,2.4000000000000004,0.4,1.0,176.0,3368.0,0.015,5m,2.0,0.8,0.5,784.0,4136.0,0.015,4m,3.0,0.2,1.0,456.0,5224.0,0.02,4m,1.2,0.4,0.5,360.0,3472.0,0.01,5m,2.6,0.4,1.0,472.0,1840.0,0.01,4m,3.0,0.6000000000000001,0.5,144.0,7632.0,0.01,4m,1.0,0.4,1.5,64.0,2640.0,0.015,3m,2.8,0.8,0.5,208.0,3008,0.02,5m,2.2,1.0,1.0,104,7088.0,0.015,5m,2.2,0.2,1.0,96.0,5856.0,0.01,4m,3.0,1.0,2.0,912.0,1800.0,0.01,4m,1.2,0.0,2.0,544.0,3608.0,0.01,5m,2.4000000000000004,1.0,1.0,112.0,3480.0,0.01,1m,2.8,0.4,1.5,656.0,6312.0,0.02,4m,2.4000000000000004,0.0,0.5,120.0,3304.0,0.015,3m,1.6,0.0,1.0,400.0,4608.0,0.02,4m,2.8,0.4,2.0,344.0,0.1,19,COMPLETE
77,77,-1.4436271171437176,2025-06-21 19:28:01.785291,2025-06-21 19:28:08.217497,0 days 00:00:06.432206,,,,,,,,3912.0,0.01,2m,1.8,0.2,1.5,312.0,4248.0,0.01,2m,1.8,1.0,0.5,472.0,1480.0,0.015,3m,2.2,0.0,2.0,288.0,1024.0,0.015,2m,1.8,0.6000000000000001,0.5,680.0,,,,,,,,5712.0,0.02,4m,1.6,0.2,1.0,248.0,2600.0,0.01,4m,2.8,1.0,0.5,552.0,2504.0,0.015,4m,2.6,0.4,1.0,832.0,,,,,,,,4368.0,0.015,2m,2.6,0.8,0.5,352.0,4640,0.02,3m,3.0,0.6000000000000001,1.0,336,7464.0,0.01,2m,2.4000000000000004,0.4,1.0,328.0,6576.0,0.01,3m,2.8,0.6000000000000001,2.0,152.0,3352.0,0.01,3m,1.2,0.0,1.5,280.0,2112.0,0.01,1m,1.6,0.8,1.0,344.0,3760.0,0.01,1m,2.6,0.2,1.5,760.0,7312.0,0.02,1m,1.0,0.2,1.5,864.0,4000.0,0.015,1m,2.6,0.6000000000000001,2.0,608.0,1504.0,0.02,4m,1.8,0.4,2.0,112.0,0.1,17,COMPLETE
78,78,1.349264982401193,2025-06-21 19:28:08.318615,2025-06-21 19:28:16.595258,0 days 00:00:08.276643,5152.0,0.015,1m,2.0,0.6000000000000001,1.5,488.0,2720.0,0.02,2m,1.0,0.0,1.5,248.0,7176.0,0.01,3m,2.4000000000000004,0.8,1.0,304.0,4856.0,0.015,2m,1.0,0.2,2.0,376.0,1488.0,0.01,3m,1.6,0.8,0.5,616.0,5944.0,0.015,1m,1.8,0.4,1.5,904.0,2392.0,0.02,4m,1.4,0.0,0.5,80.0,3128.0,0.01,3m,2.6,0.6000000000000001,1.0,384.0,1320.0,0.015,4m,2.8,0.6000000000000001,0.5,976.0,7464.0,0.01,2m,1.4,0.2,2.0,192.0,2864.0,0.015,3m,3.0,0.2,0.5,448.0,5240,0.02,4m,2.4000000000000004,1.0,1.0,200,3432.0,0.01,3m,2.8,0.2,1.0,160.0,6952.0,0.01,4m,2.2,0.4,1.0,424.0,4936.0,0.01,4m,1.0,0.2,1.5,776.0,4184.0,0.015,1m,1.8,1.0,2.0,200.0,7600.0,0.01,2m,3.0,0.4,1.5,584.0,3448.0,0.01,4m,1.2,0.0,1.5,192.0,6752.0,0.015,1m,1.8,0.4,1.5,456.0,4064.0,0.02,5m,1.4,0.6000000000000001,2.0,208.0,0.15000000000000002,20,COMPLETE
