,number,value,datetime_start,datetime_complete,duration,params_AAPL_CSCO_beta_win,params_AAPL_CSCO_stop_loss,params_AAPL_CSCO_trade_freq,params_AAPL_CSCO_z_entry,params_AAPL_CSCO_z_exit,params_AAPL_CSCO_z_stop_scaler,params_AAPL_CSCO_z_win,params_ADI_CERN_beta_win,params_ADI_CERN_stop_loss,params_ADI_CERN_trade_freq,params_ADI_CERN_z_entry,params_ADI_CERN_z_exit,params_ADI_CERN_z_stop_scaler,params_ADI_CERN_z_win,params_ADSK_CSCO_beta_win,params_ADSK_CSCO_stop_loss,params_ADSK_CSCO_trade_freq,params_ADSK_CSCO_z_entry,params_ADSK_CSCO_z_exit,params_ADSK_CSCO_z_stop_scaler,params_ADSK_CSCO_z_win,params_AMAT_CERN_beta_win,params_AMAT_CERN_stop_loss,params_AMAT_CERN_trade_freq,params_AMAT_CERN_z_entry,params_AMAT_CERN_z_exit,params_AMAT_CERN_z_stop_scaler,params_AMAT_CERN_z_win,params_AMAT_CSCO_beta_win,params_AMAT_CSCO_stop_loss,params_AMAT_CSCO_trade_freq,params_AMAT_CSCO_z_entry,params_AMAT_CSCO_z_exit,params_AMAT_CSCO_z_stop_scaler,params_AMAT_CSCO_z_win,params_AMD_FAST_beta_win,params_AMD_FAST_stop_loss,params_AMD_FAST_trade_freq,params_AMD_FAST_z_entry,params_AMD_FAST_z_exit,params_AMD_FAST_z_stop_scaler,params_AMD_FAST_z_win,params_ANSS_CERN_beta_win,params_ANSS_CERN_stop_loss,params_ANSS_CERN_trade_freq,params_ANSS_CERN_z_entry,params_ANSS_CERN_z_exit,params_ANSS_CERN_z_stop_scaler,params_ANSS_CERN_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ASML_CERN_beta_win,params_ASML_CERN_stop_loss,params_ASML_CERN_trade_freq,params_ASML_CERN_z_entry,params_ASML_CERN_z_exit,params_ASML_CERN_z_stop_scaler,params_ASML_CERN_z_win,params_ASML_CSCO_beta_win,params_ASML_CSCO_stop_loss,params_ASML_CSCO_trade_freq,params_ASML_CSCO_z_entry,params_ASML_CSCO_z_exit,params_ASML_CSCO_z_stop_scaler,params_ASML_CSCO_z_win,params_BIDU_CERN_beta_win,params_BIDU_CERN_stop_loss,params_BIDU_CERN_trade_freq,params_BIDU_CERN_z_entry,params_BIDU_CERN_z_exit,params_BIDU_CERN_z_stop_scaler,params_BIDU_CERN_z_win,params_BKNG_CSCO_beta_win,params_BKNG_CSCO_stop_loss,params_BKNG_CSCO_trade_freq,params_BKNG_CSCO_z_entry,params_BKNG_CSCO_z_exit,params_BKNG_CSCO_z_stop_scaler,params_BKNG_CSCO_z_win,params_CDNS_CERN_beta_win,params_CDNS_CERN_stop_loss,params_CDNS_CERN_trade_freq,params_CDNS_CERN_z_entry,params_CDNS_CERN_z_exit,params_CDNS_CERN_z_stop_scaler,params_CDNS_CERN_z_win,params_CERN_CSCO_beta_win,params_CERN_CSCO_stop_loss,params_CERN_CSCO_trade_freq,params_CERN_CSCO_z_entry,params_CERN_CSCO_z_exit,params_CERN_CSCO_z_stop_scaler,params_CERN_CSCO_z_win,params_CERN_DOCU_beta_win,params_CERN_DOCU_stop_loss,params_CERN_DOCU_trade_freq,params_CERN_DOCU_z_entry,params_CERN_DOCU_z_exit,params_CERN_DOCU_z_stop_scaler,params_CERN_DOCU_z_win,params_CERN_MELI_beta_win,params_CERN_MELI_stop_loss,params_CERN_MELI_trade_freq,params_CERN_MELI_z_entry,params_CERN_MELI_z_exit,params_CERN_MELI_z_stop_scaler,params_CERN_MELI_z_win,params_CERN_PYPL_beta_win,params_CERN_PYPL_stop_loss,params_CERN_PYPL_trade_freq,params_CERN_PYPL_z_entry,params_CERN_PYPL_z_exit,params_CERN_PYPL_z_stop_scaler,params_CERN_PYPL_z_win,params_CHTR_FISV_beta_win,params_CHTR_FISV_stop_loss,params_CHTR_FISV_trade_freq,params_CHTR_FISV_z_entry,params_CHTR_FISV_z_exit,params_CHTR_FISV_z_stop_scaler,params_CHTR_FISV_z_win,params_CMCSA_REGN_beta_win,params_CMCSA_REGN_stop_loss,params_CMCSA_REGN_trade_freq,params_CMCSA_REGN_z_entry,params_CMCSA_REGN_z_exit,params_CMCSA_REGN_z_stop_scaler,params_CMCSA_REGN_z_win,params_CSCO_MNST_beta_win,params_CSCO_MNST_stop_loss,params_CSCO_MNST_trade_freq,params_CSCO_MNST_z_entry,params_CSCO_MNST_z_exit,params_CSCO_MNST_z_stop_scaler,params_CSCO_MNST_z_win,params_CTAS_INCY_beta_win,params_CTAS_INCY_stop_loss,params_CTAS_INCY_trade_freq,params_CTAS_INCY_z_entry,params_CTAS_INCY_z_exit,params_CTAS_INCY_z_stop_scaler,params_CTAS_INCY_z_win,params_CTSH_SBUX_beta_win,params_CTSH_SBUX_stop_loss,params_CTSH_SBUX_trade_freq,params_CTSH_SBUX_z_entry,params_CTSH_SBUX_z_exit,params_CTSH_SBUX_z_stop_scaler,params_CTSH_SBUX_z_win,params_CTSH_XLNX_beta_win,params_CTSH_XLNX_stop_loss,params_CTSH_XLNX_trade_freq,params_CTSH_XLNX_z_entry,params_CTSH_XLNX_z_exit,params_CTSH_XLNX_z_stop_scaler,params_CTSH_XLNX_z_win,params_EBAY_INCY_beta_win,params_EBAY_INCY_stop_loss,params_EBAY_INCY_trade_freq,params_EBAY_INCY_z_entry,params_EBAY_INCY_z_exit,params_EBAY_INCY_z_stop_scaler,params_EBAY_INCY_z_win,params_EXC_VRTX_beta_win,params_EXC_VRTX_stop_loss,params_EXC_VRTX_trade_freq,params_EXC_VRTX_z_entry,params_EXC_VRTX_z_exit,params_EXC_VRTX_z_stop_scaler,params_EXC_VRTX_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_NXPI_QCOM_beta_win,params_NXPI_QCOM_stop_loss,params_NXPI_QCOM_trade_freq,params_NXPI_QCOM_z_entry,params_NXPI_QCOM_z_exit,params_NXPI_QCOM_z_stop_scaler,params_NXPI_QCOM_z_win,params_NXPI_TXN_beta_win,params_NXPI_TXN_stop_loss,params_NXPI_TXN_trade_freq,params_NXPI_TXN_z_entry,params_NXPI_TXN_z_exit,params_NXPI_TXN_z_stop_scaler,params_NXPI_TXN_z_win,params_QCOM_TXN_beta_win,params_QCOM_TXN_stop_loss,params_QCOM_TXN_trade_freq,params_QCOM_TXN_z_entry,params_QCOM_TXN_z_exit,params_QCOM_TXN_z_stop_scaler,params_QCOM_TXN_z_win,params_REGN_SBUX_beta_win,params_REGN_SBUX_stop_loss,params_REGN_SBUX_trade_freq,params_REGN_SBUX_z_entry,params_REGN_SBUX_z_exit,params_REGN_SBUX_z_stop_scaler,params_REGN_SBUX_z_win,params_buffer_capital,params_pairs_to_trade,state
47,47,1.004916843416973,2025-06-22 16:23:33.555110,2025-06-22 16:23:58.557494,0 days 00:00:25.002384,3072.0,0.02,3m,2.6,1.0,0.5,488.0,,,,,,,,2672.0,0.01,5m,2.6,0.8,1.5,840.0,8168.0,0.01,1m,1.2,0.4,0.5,960.0,1568.0,0.035,4m,1.2,1.0,2.0,472.0,1808.0,0.02,4m,2.8,0.4,0.5,304.0,1648.0,0.03,5m,2.0,1.0,2.0,784.0,5368.0,0.01,5m,2.2,0.8,1.5,976.0,2600,0.025,1m,2.2,0.4,1.5,872,2672.0,0.02,1m,2.8,1.0,2.0,440.0,7592,0.01,5m,2.2,1.0,0.5,888,4584.0,0.045000000000000005,3m,1.4,0.6000000000000001,0.5,376.0,7048,0.025,2m,1.2,0.8,0.5,328,7072.0,0.035,3m,3.0,1.0,0.5,336.0,6456.0,0.02,3m,2.8,0.2,1.5,224.0,3952.0,0.05,5m,1.8,0.4,1.5,664.0,3456.0,0.03,2m,2.6,0.2,0.5,600.0,3112.0,0.015,3m,2.6,0.2,2.0,880.0,3968,0.045000000000000005,3m,2.6,0.8,0.5,856,2272,0.02,3m,2.4000000000000004,0.6000000000000001,1.5,512,5752.0,0.035,2m,2.4000000000000004,0.8,1.0,728.0,7680.0,0.045000000000000005,5m,1.4,1.0,0.5,488.0,1432,0.045000000000000005,5m,2.2,0.2,2.0,784,1264,0.045000000000000005,4m,1.4,0.0,2.0,1024,3904.0,0.015,4m,2.0,0.0,1.5,336.0,6272,0.02,3m,1.4,0.4,1.0,1024,7464.0,0.035,5m,1.2,0.8,1.5,512.0,4800,0.01,5m,3.0,0.8,2.0,888,2040,0.015,3m,1.6,0.2,0.5,136,7696.0,0.035,1m,2.8,0.0,0.5,992.0,0.15000000000000002,29,COMPLETE
48,48,0.9722460796976885,2025-06-22 16:23:58.610807,2025-06-22 16:24:20.558469,0 days 00:00:21.947662,2104.0,0.015,3m,2.2,0.8,1.0,880.0,,,,,,,,,,,,,,,6712.0,0.02,1m,1.4,0.2,1.0,992.0,2360.0,0.05,4m,1.4,0.8,2.0,264.0,3024.0,0.015,4m,3.0,0.8,0.5,416.0,2432.0,0.04,5m,1.2,0.8,2.0,848.0,7288.0,0.015,5m,2.8,1.0,1.5,856.0,3520,0.02,5m,2.4000000000000004,0.2,1.5,976,1784.0,0.015,1m,3.0,0.6000000000000001,2.0,816.0,8144,0.02,5m,2.6,0.8,1.0,976,6496.0,0.04,3m,1.0,0.8,1.0,440.0,6560,0.03,2m,1.6,1.0,1.0,240,5832.0,0.045000000000000005,3m,2.4000000000000004,1.0,0.5,208.0,5672.0,0.015,3m,3.0,0.0,1.0,384.0,,,,,,,,1856.0,0.025,2m,2.8,0.0,0.5,448.0,3928.0,0.01,3m,2.4000000000000004,0.4,2.0,960.0,2184,0.05,3m,2.8,1.0,0.5,968,1464,0.015,3m,2.2,0.4,1.5,328,,,,,,,,6656.0,0.035,5m,1.0,1.0,0.5,320.0,3184,0.05,5m,2.6,0.4,2.0,880,2160,0.05,4m,2.4000000000000004,0.2,1.5,760,,,,,,,,7328,0.01,3m,1.2,0.2,1.5,944,,,,,,,,4104,0.015,2m,2.6,1.0,1.5,1000,1520,0.02,1m,1.4,0.0,0.5,880,7224.0,0.04,1m,2.6,0.2,1.0,920.0,0.1,24,COMPLETE
49,49,1.01623707889677,2025-06-22 16:24:20.636368,2025-06-22 16:24:44.312842,0 days 00:00:23.676474,1376.0,0.01,2m,3.0,1.0,0.5,704.0,,,,,,,,2976.0,0.03,5m,2.2,1.0,1.0,1016.0,5960.0,0.015,1m,1.2,0.0,0.5,736.0,3216.0,0.045000000000000005,5m,1.8,0.8,2.0,392.0,4384.0,0.01,1m,2.8,0.6000000000000001,1.0,208.0,1192.0,0.035,4m,2.0,1.0,1.5,984.0,6512.0,0.01,2m,2.4000000000000004,0.8,2.0,752.0,2984,0.025,5m,2.6,0.6000000000000001,1.5,824,4504.0,0.025,2m,2.6,0.8,2.0,784.0,6672,0.01,5m,2.4000000000000004,1.0,1.5,800,5832.0,0.05,2m,2.6,0.6000000000000001,0.5,544.0,7920,0.025,2m,1.0,1.0,1.0,128,3848.0,0.05,3m,2.8,0.8,0.5,408.0,6160.0,0.01,3m,3.0,0.2,1.0,192.0,,,,,,,,4328.0,0.035,4m,2.6,0.2,0.5,520.0,2464.0,0.015,5m,2.8,0.0,2.0,816.0,3728,0.05,3m,3.0,0.8,0.5,912,1864,0.01,3m,2.6,0.6000000000000001,1.5,232,,,,,,,,8176.0,0.03,5m,1.6,0.8,0.5,176.0,2056,0.045000000000000005,5m,2.4000000000000004,0.2,2.0,720,1744,0.05,4m,2.0,0.0,1.5,192,1048.0,0.025,4m,2.4000000000000004,0.2,2.0,496.0,5760,0.015,3m,1.6,0.6000000000000001,1.5,816,7592.0,0.015,5m,1.0,0.6000000000000001,1.5,536.0,2336,0.02,5m,2.8,0.8,2.0,784,2696,0.01,1m,1.8,0.0,0.5,776,7800.0,0.045000000000000005,1m,3.0,0.0,0.5,768.0,0.15000000000000002,27,COMPLETE
50,50,0.9550626515935261,2025-06-22 16:24:44.371613,2025-06-22 16:25:08.550491,0 days 00:00:24.178878,,,,,,,,,,,,,,,,,,,,,,7136.0,0.01,1m,1.0,0.2,0.5,1024.0,4016.0,0.04,1m,1.2,0.6000000000000001,2.0,512.0,3440.0,0.015,4m,2.4000000000000004,0.8,1.0,160.0,6352.0,0.045000000000000005,5m,1.6,1.0,2.0,728.0,7744.0,0.015,4m,3.0,1.0,1.5,688.0,1208,0.03,2m,2.8,0.2,1.0,608,4952.0,0.015,1m,2.8,0.4,2.0,736.0,5856,0.015,5m,1.8,0.8,1.0,736,5184.0,0.035,1m,1.4,1.0,1.0,304.0,7088,0.04,2m,1.4,0.8,0.5,288,6480.0,0.04,4m,2.6,0.6000000000000001,0.5,176.0,7104.0,0.02,3m,2.8,0.4,1.5,232.0,,,,,,,,3880.0,0.03,2m,3.0,0.0,0.5,384.0,4608.0,0.01,1m,2.2,0.2,2.0,904.0,4960,0.04,3m,2.4000000000000004,1.0,0.5,1024,2488,0.015,3m,3.0,0.4,2.0,552,,,,,,,,4296.0,0.04,5m,1.4,1.0,0.5,400.0,2736,0.05,5m,2.8,0.0,2.0,984,4376,0.04,5m,1.6,0.0,1.5,288,,,,,,,,6968,0.015,3m,1.8,0.0,1.0,744,,,,,,,,3176,0.02,5m,3.0,1.0,1.5,920,5096,0.02,1m,1.4,0.2,0.5,984,6664.0,0.03,1m,2.2,0.0,1.0,856.0,0.05,23,COMPLETE
51,51,1.0124231280894926,2025-06-22 16:25:08.603864,2025-06-22 16:25:32.508370,0 days 00:00:23.904506,1440.0,0.01,2m,3.0,1.0,0.5,752.0,,,,,,,,2856.0,0.03,5m,2.2,1.0,1.0,1000.0,5912.0,0.015,1m,1.2,0.0,0.5,752.0,3368.0,0.045000000000000005,5m,1.8,0.8,2.0,384.0,4232.0,0.01,1m,2.8,0.6000000000000001,1.0,224.0,1224.0,0.035,4m,2.0,1.0,1.5,984.0,7056.0,0.01,2m,2.4000000000000004,0.8,2.0,792.0,3088,0.025,5m,2.6,0.6000000000000001,1.5,848,4400.0,0.025,2m,2.6,0.8,2.0,776.0,6656,0.01,5m,2.4000000000000004,1.0,1.5,800,5584.0,0.05,2m,2.8,0.6000000000000001,0.5,552.0,7976,0.025,2m,1.0,1.0,0.5,176,3800.0,0.05,3m,2.8,0.8,0.5,424.0,6232.0,0.01,3m,3.0,0.2,1.0,168.0,,,,,,,,4400.0,0.035,4m,2.6,0.0,0.5,528.0,2400.0,0.015,5m,2.8,0.0,2.0,816.0,3744,0.05,3m,3.0,0.8,0.5,920,1944,0.01,3m,2.6,0.6000000000000001,1.5,232,,,,,,,,7696.0,0.03,5m,1.6,0.8,0.5,168.0,2016,0.045000000000000005,5m,2.4000000000000004,0.2,2.0,712,1648,0.05,4m,2.0,0.0,1.5,200,1032.0,0.025,4m,2.4000000000000004,0.2,2.0,496.0,5904,0.02,3m,1.6,0.6000000000000001,1.5,832,7584.0,0.015,5m,1.0,0.6000000000000001,1.5,512.0,2168,0.02,5m,2.8,0.8,2.0,784,2664,0.01,1m,1.8,0.0,0.5,784,7768.0,0.045000000000000005,1m,3.0,0.0,0.5,760.0,0.15000000000000002,27,COMPLETE
52,52,0.9994011651166943,2025-06-22 16:25:32.600533,2025-06-22 16:25:55.719590,0 days 00:00:23.119057,1984.0,0.015,2m,2.8,1.0,0.5,600.0,,,,,,,,,,,,,,,6560.0,0.015,1m,1.0,0.0,0.5,880.0,2992.0,0.045000000000000005,5m,1.0,1.0,2.0,440.0,2792.0,0.01,1m,3.0,0.6000000000000001,0.5,216.0,2064.0,0.035,4m,1.8,1.0,2.0,936.0,6488.0,0.01,2m,2.6,0.8,2.0,728.0,2728,0.025,5m,2.2,0.4,1.5,904,5456.0,0.02,2m,2.4000000000000004,0.6000000000000001,2.0,640.0,7280,0.01,5m,2.2,1.0,1.5,856,5864.0,0.05,2m,2.4000000000000004,0.6000000000000001,0.5,368.0,7584,0.025,2m,1.0,1.0,1.0,240,4688.0,0.05,3m,2.8,1.0,0.5,328.0,6608.0,0.01,3m,3.0,0.2,1.0,280.0,,,,,,,,2392.0,0.035,4m,2.8,0.2,0.5,512.0,3328.0,0.015,5m,2.6,0.0,2.0,976.0,4368,0.045000000000000005,3m,2.8,1.0,0.5,832,1632,0.01,3m,2.4000000000000004,0.6000000000000001,1.5,176,,,,,,,,8184.0,0.04,5m,1.2,1.0,0.5,240.0,2296,0.04,5m,2.6,0.2,2.0,760,1064,0.05,4m,2.0,0.0,1.5,136,1752.0,0.01,4m,2.6,0.2,2.0,600.0,5624,0.015,3m,1.4,0.6000000000000001,1.5,936,6744.0,0.01,5m,1.2,0.8,1.5,640.0,2296,0.015,5m,2.8,0.8,2.0,744,2856,0.01,1m,1.6,0.0,0.5,832,7984.0,0.05,1m,2.8,0.0,0.5,776.0,0.1,26,COMPLETE
53,53,1.0240636223467,2025-06-22 16:25:55.775266,2025-06-22 16:26:20.756284,0 days 00:00:24.981018,1080.0,0.01,2m,3.0,0.8,1.0,720.0,,,,,,,,4440.0,0.025,5m,2.0,1.0,1.5,736.0,7648.0,0.01,1m,1.2,0.2,0.5,816.0,2576.0,0.035,5m,1.8,0.8,2.0,616.0,4160.0,0.015,1m,2.6,0.4,0.5,152.0,1336.0,0.04,4m,1.8,1.0,1.5,888.0,6080.0,0.01,2m,2.4000000000000004,0.8,2.0,600.0,1984,0.02,5m,2.4000000000000004,0.6000000000000001,1.5,736,3224.0,0.025,2m,2.6,0.8,2.0,872.0,6776,0.015,5m,2.4000000000000004,1.0,1.5,832,4664.0,0.045000000000000005,2m,3.0,0.8,0.5,600.0,7944,0.03,2m,1.2,1.0,0.5,136,3992.0,0.045000000000000005,3m,3.0,1.0,0.5,224.0,5960.0,0.015,3m,2.8,0.2,1.0,480.0,,,,,,,,3384.0,0.03,4m,3.0,0.0,0.5,600.0,2688.0,0.01,2m,3.0,0.0,2.0,760.0,3424,0.05,3m,3.0,0.8,0.5,880,1352,0.015,3m,2.2,0.8,1.5,296,3848.0,0.025,4m,1.6,0.4,1.5,352.0,6616.0,0.035,5m,1.8,0.8,0.5,128.0,1648,0.05,5m,2.4000000000000004,0.2,2.0,824,1736,0.045000000000000005,4m,2.2,0.0,1.5,176,2496.0,0.02,4m,2.2,0.0,2.0,720.0,4408,0.01,3m,1.6,0.4,1.5,888,7752.0,0.015,5m,1.0,0.6000000000000001,1.5,536.0,3464,0.025,5m,3.0,0.8,2.0,864,3280,0.015,1m,2.0,0.0,0.5,888,7432.0,0.04,1m,3.0,0.0,0.5,960.0,0.2,28,COMPLETE
54,54,0.9783741793877163,2025-06-22 16:26:20.804876,2025-06-22 16:26:49.142994,0 days 00:00:28.338118,1064.0,0.02,1m,2.8,0.8,1.0,872.0,,,,,,,,4312.0,0.02,5m,1.8,0.8,1.5,728.0,7736.0,0.01,2m,1.4,0.2,0.5,816.0,2496.0,0.035,2m,1.4,0.8,2.0,608.0,3856.0,0.02,1m,2.6,0.4,0.5,128.0,1608.0,0.04,4m,1.6,1.0,2.0,880.0,5976.0,0.015,5m,2.8,1.0,2.0,528.0,1976,0.02,5m,2.4000000000000004,0.2,1.5,680,3312.0,0.03,2m,3.0,1.0,2.0,904.0,7024,0.015,5m,2.4000000000000004,1.0,1.0,1024,4768.0,0.045000000000000005,3m,2.8,0.8,0.5,640.0,6864,0.03,5m,1.4,1.0,0.5,184,5344.0,0.045000000000000005,5m,3.0,1.0,0.5,240.0,5256.0,0.025,3m,2.6,0.2,1.0,552.0,5640.0,0.02,3m,2.4000000000000004,0.6000000000000001,1.0,480.0,3432.0,0.03,2m,3.0,0.0,0.5,608.0,3736.0,0.01,2m,3.0,0.2,2.0,736.0,3376,0.045000000000000005,3m,2.8,1.0,0.5,984,1328,0.015,3m,2.0,0.8,1.5,296,3648.0,0.025,4m,1.6,0.4,1.5,368.0,6880.0,0.035,3m,1.8,1.0,0.5,128.0,1608,0.05,1m,2.6,0.4,2.0,816,2536,0.045000000000000005,1m,2.2,0.2,1.5,256,2664.0,0.015,4m,2.0,0.0,2.0,728.0,4288,0.01,4m,1.8,0.4,1.5,984,8152.0,0.02,1m,1.4,0.6000000000000001,1.5,376.0,4576,0.015,5m,3.0,0.8,2.0,864,3944,0.015,2m,2.0,0.2,0.5,936,7336.0,0.04,1m,2.6,0.2,0.5,952.0,0.25,29,COMPLETE
55,55,0.9947032005971507,2025-06-22 16:26:49.196683,2025-06-22 16:27:13.196529,0 days 00:00:23.999846,2720.0,0.015,5m,2.6,0.6000000000000001,1.0,184.0,,,,,,,,4840.0,0.025,4m,2.8,1.0,1.5,576.0,8184.0,0.01,1m,1.0,0.4,1.0,928.0,1384.0,0.03,1m,1.6,1.0,2.0,552.0,3296.0,0.015,5m,2.6,0.4,0.5,264.0,1912.0,0.045000000000000005,5m,1.8,0.8,2.0,816.0,5544.0,0.01,2m,2.6,0.8,1.0,616.0,1720,0.02,5m,2.0,0.4,1.5,728,2864.0,0.05,5m,2.8,0.6000000000000001,2.0,968.0,7696,0.02,1m,2.0,1.0,1.0,888,4608.0,0.04,2m,1.2,0.8,0.5,432.0,7328,0.035,2m,1.2,1.0,0.5,328,4072.0,0.035,3m,3.0,1.0,0.5,152.0,5640.0,0.015,3m,2.8,0.0,1.0,472.0,,,,,,,,2744.0,0.025,4m,3.0,0.0,0.5,472.0,2976.0,0.01,2m,2.4000000000000004,0.0,1.5,856.0,2520,0.05,3m,2.6,0.8,0.5,888,1048,0.02,3m,2.2,0.8,1.5,432,4120.0,0.035,4m,1.4,0.6000000000000001,1.5,480.0,6160.0,0.045000000000000005,5m,1.6,1.0,0.5,888.0,3728,0.05,5m,3.0,0.2,2.0,904,1296,0.045000000000000005,4m,2.2,0.0,1.5,168,2528.0,0.02,4m,2.2,0.0,2.0,760.0,4760,0.01,3m,1.6,0.4,1.5,888,7120.0,0.04,5m,1.2,0.8,1.5,264.0,3376,0.025,5m,3.0,1.0,2.0,896,3232,0.03,4m,2.0,0.0,0.5,888,8160.0,0.035,1m,2.8,0.0,1.0,1008.0,0.2,28,COMPLETE
56,56,1.0043058337906956,2025-06-22 16:27:13.264328,2025-06-22 16:27:41.628101,0 days 00:00:28.363773,3416.0,0.01,3m,3.0,0.8,1.0,344.0,7488.0,0.01,2m,3.0,1.0,2.0,1008.0,3776.0,0.015,5m,2.0,0.8,2.0,872.0,7104.0,0.02,1m,1.2,0.2,0.5,800.0,2128.0,0.035,4m,1.2,0.8,2.0,616.0,2664.0,0.02,1m,3.0,0.4,0.5,184.0,3096.0,0.04,5m,1.4,1.0,1.5,760.0,4928.0,0.015,5m,2.6,1.0,1.0,392.0,2232,0.015,1m,2.4000000000000004,0.4,1.5,752,3824.0,0.02,1m,2.2,0.8,2.0,864.0,6376,0.015,5m,2.2,0.8,1.5,832,5320.0,0.045000000000000005,3m,3.0,1.0,0.5,704.0,6528,0.03,2m,1.6,0.8,0.5,272,7544.0,0.04,3m,3.0,1.0,0.5,224.0,4536.0,0.015,3m,2.8,0.4,1.0,424.0,2720.0,0.04,4m,1.4,0.8,2.0,776.0,3792.0,0.03,2m,2.8,0.0,0.5,560.0,4992.0,0.01,2m,3.0,0.2,2.0,680.0,2744,0.045000000000000005,1m,3.0,1.0,0.5,944,2192,0.015,3m,2.0,0.8,2.0,368,5736.0,0.025,5m,2.2,0.4,1.0,344.0,5280.0,0.04,5m,1.0,0.8,0.5,1016.0,1360,0.05,5m,2.6,0.0,1.5,976,2112,0.045000000000000005,4m,2.4000000000000004,0.2,1.5,128,1880.0,0.01,4m,2.8,0.0,1.5,656.0,5224,0.025,3m,1.8,0.2,1.5,768,7776.0,0.015,5m,1.0,1.0,1.5,696.0,5008,0.02,5m,2.6,1.0,2.0,856,4576,0.015,1m,1.2,0.0,0.5,696,6960.0,0.04,3m,2.8,0.2,1.0,904.0,0.1,30,COMPLETE
57,57,1.0230603779847502,2025-06-22 16:27:41.661194,2025-06-22 16:28:03.029512,0 days 00:00:21.368318,1536.0,0.02,1m,2.8,0.6000000000000001,0.5,248.0,,,,,,,,,,,,,,,7576.0,0.01,5m,1.0,0.4,0.5,696.0,2760.0,0.04,5m,1.0,0.6000000000000001,2.0,680.0,4928.0,0.025,3m,3.0,0.8,0.5,360.0,7840.0,0.04,4m,1.8,0.8,2.0,856.0,6064.0,0.01,5m,2.2,0.8,1.5,168.0,1304,0.02,5m,2.2,0.6000000000000001,1.5,800,1912.0,0.02,1m,2.6,0.8,2.0,840.0,6064,0.02,5m,2.2,1.0,1.0,968,6776.0,0.04,4m,1.0,0.8,0.5,280.0,7976,0.02,2m,1.2,0.8,0.5,128,5928.0,0.045000000000000005,2m,2.6,0.0,1.0,296.0,6872.0,0.02,3m,2.4000000000000004,0.2,1.5,368.0,,,,,,,,2688.0,0.025,2m,3.0,0.0,0.5,664.0,3536.0,0.015,3m,2.6,0.4,2.0,784.0,3192,0.04,3m,2.8,1.0,0.5,1000,2584,0.02,1m,1.8,0.6000000000000001,1.5,480,,,,,,,,6952.0,0.035,5m,1.4,1.0,0.5,360.0,2456,0.045000000000000005,5m,2.8,0.2,2.0,1024,2984,0.04,4m,1.8,0.0,2.0,280,,,,,,,,4472,0.01,3m,1.4,0.4,1.5,1000,7216.0,0.03,5m,1.2,0.6000000000000001,1.5,568.0,2776,0.025,2m,3.0,0.8,2.0,992,3600,0.02,3m,2.0,0.2,0.5,816,6280.0,0.03,5m,3.0,0.0,0.5,880.0,0.25,25,COMPLETE
58,58,1.0099999276593654,2025-06-22 16:28:03.082422,2025-06-22 16:28:25.146332,0 days 00:00:22.063910,2432.0,0.02,1m,2.4000000000000004,0.6000000000000001,1.0,208.0,,,,,,,,,,,,,,,7600.0,0.01,5m,1.2,0.4,1.0,696.0,2848.0,0.04,5m,1.0,0.6000000000000001,2.0,704.0,4800.0,0.025,3m,3.0,0.8,0.5,160.0,8024.0,0.045000000000000005,4m,1.6,0.8,2.0,872.0,6048.0,0.01,4m,2.2,0.8,2.0,368.0,3776,0.025,5m,2.0,0.6000000000000001,1.0,672,2120.0,0.025,2m,2.4000000000000004,0.6000000000000001,2.0,984.0,5184,0.02,5m,2.6,1.0,1.0,976,6536.0,0.04,4m,1.6,0.8,1.0,232.0,7992,0.02,2m,1.2,1.0,0.5,128,6008.0,0.03,2m,2.6,0.0,1.0,368.0,6864.0,0.025,1m,2.4000000000000004,0.0,1.5,352.0,,,,,,,,3336.0,0.02,2m,2.8,0.2,0.5,680.0,7888.0,0.02,2m,2.8,0.4,1.5,920.0,3224,0.04,3m,3.0,0.8,0.5,816,2544,0.02,1m,1.8,0.6000000000000001,1.0,472,,,,,,,,6344.0,0.04,5m,1.8,0.8,0.5,456.0,2504,0.045000000000000005,5m,2.8,0.4,2.0,1024,3000,0.04,4m,1.8,0.0,2.0,272,,,,,,,,4328,0.01,3m,1.0,0.4,1.0,1000,7296.0,0.03,4m,1.2,0.6000000000000001,2.0,568.0,2928,0.025,2m,3.0,0.8,2.0,984,3544,0.015,3m,2.0,0.2,0.5,816,5824.0,0.03,5m,3.0,0.0,1.0,976.0,0.3,25,COMPLETE
