,number,value,datetime_start,datetime_complete,duration,params_ADP_CTAS_beta_win,params_ADP_CTAS_stop_loss,params_ADP_CTAS_trade_freq,params_ADP_CTAS_z_entry,params_ADP_CTAS_z_exit,params_ADP_CTAS_z_stop_scaler,params_ADP_CTAS_z_win,params_ALXN_CHTR_beta_win,params_ALXN_CHTR_stop_loss,params_ALXN_CHTR_trade_freq,params_ALXN_CHTR_z_entry,params_ALXN_CHTR_z_exit,params_ALXN_CHTR_z_stop_scaler,params_ALXN_CHTR_z_win,params_AMD_CMCSA_beta_win,params_AMD_CMCSA_stop_loss,params_AMD_CMCSA_trade_freq,params_AMD_CMCSA_z_entry,params_AMD_CMCSA_z_exit,params_AMD_CMCSA_z_stop_scaler,params_AMD_CMCSA_z_win,params_AMD_PTON_beta_win,params_AMD_PTON_stop_loss,params_AMD_PTON_trade_freq,params_AMD_PTON_z_entry,params_AMD_PTON_z_exit,params_AMD_PTON_z_stop_scaler,params_AMD_PTON_z_win,params_AMGN_TEAM_beta_win,params_AMGN_TEAM_stop_loss,params_AMGN_TEAM_trade_freq,params_AMGN_TEAM_z_entry,params_AMGN_TEAM_z_exit,params_AMGN_TEAM_z_stop_scaler,params_AMGN_TEAM_z_win,params_CMCSA_PTON_beta_win,params_CMCSA_PTON_stop_loss,params_CMCSA_PTON_trade_freq,params_CMCSA_PTON_z_entry,params_CMCSA_PTON_z_exit,params_CMCSA_PTON_z_stop_scaler,params_CMCSA_PTON_z_win,params_CMCSA_QCOM_beta_win,params_CMCSA_QCOM_stop_loss,params_CMCSA_QCOM_trade_freq,params_CMCSA_QCOM_z_entry,params_CMCSA_QCOM_z_exit,params_CMCSA_QCOM_z_stop_scaler,params_CMCSA_QCOM_z_win,params_CMCSA_SPLK_beta_win,params_CMCSA_SPLK_stop_loss,params_CMCSA_SPLK_trade_freq,params_CMCSA_SPLK_z_entry,params_CMCSA_SPLK_z_exit,params_CMCSA_SPLK_z_stop_scaler,params_CMCSA_SPLK_z_win,params_CMCSA_VRTX_beta_win,params_CMCSA_VRTX_stop_loss,params_CMCSA_VRTX_trade_freq,params_CMCSA_VRTX_z_entry,params_CMCSA_VRTX_z_exit,params_CMCSA_VRTX_z_stop_scaler,params_CMCSA_VRTX_z_win,params_CMCSA_XLNX_beta_win,params_CMCSA_XLNX_stop_loss,params_CMCSA_XLNX_trade_freq,params_CMCSA_XLNX_z_entry,params_CMCSA_XLNX_z_exit,params_CMCSA_XLNX_z_stop_scaler,params_CMCSA_XLNX_z_win,params_CSCO_CTAS_beta_win,params_CSCO_CTAS_stop_loss,params_CSCO_CTAS_trade_freq,params_CSCO_CTAS_z_entry,params_CSCO_CTAS_z_exit,params_CSCO_CTAS_z_stop_scaler,params_CSCO_CTAS_z_win,params_FB_CTAS_beta_win,params_FB_CTAS_stop_loss,params_FB_CTAS_trade_freq,params_FB_CTAS_z_entry,params_FB_CTAS_z_exit,params_FB_CTAS_z_stop_scaler,params_FB_CTAS_z_win,params_FOXA_XLNX_beta_win,params_FOXA_XLNX_stop_loss,params_FOXA_XLNX_trade_freq,params_FOXA_XLNX_z_entry,params_FOXA_XLNX_z_exit,params_FOXA_XLNX_z_stop_scaler,params_FOXA_XLNX_z_win,params_FOX_XLNX_beta_win,params_FOX_XLNX_stop_loss,params_FOX_XLNX_trade_freq,params_FOX_XLNX_z_entry,params_FOX_XLNX_z_exit,params_FOX_XLNX_z_stop_scaler,params_FOX_XLNX_z_win,params_INTC_MU_beta_win,params_INTC_MU_stop_loss,params_INTC_MU_trade_freq,params_INTC_MU_z_entry,params_INTC_MU_z_exit,params_INTC_MU_z_stop_scaler,params_INTC_MU_z_win,params_JD_CTAS_beta_win,params_JD_CTAS_stop_loss,params_JD_CTAS_trade_freq,params_JD_CTAS_z_entry,params_JD_CTAS_z_exit,params_JD_CTAS_z_stop_scaler,params_JD_CTAS_z_win,params_KLAC_MCHP_beta_win,params_KLAC_MCHP_stop_loss,params_KLAC_MCHP_trade_freq,params_KLAC_MCHP_z_entry,params_KLAC_MCHP_z_exit,params_KLAC_MCHP_z_stop_scaler,params_KLAC_MCHP_z_win,params_MTCH_TEAM_beta_win,params_MTCH_TEAM_stop_loss,params_MTCH_TEAM_trade_freq,params_MTCH_TEAM_z_entry,params_MTCH_TEAM_z_exit,params_MTCH_TEAM_z_stop_scaler,params_MTCH_TEAM_z_win,params_NFLX_CHTR_beta_win,params_NFLX_CHTR_stop_loss,params_NFLX_CHTR_trade_freq,params_NFLX_CHTR_z_entry,params_NFLX_CHTR_z_exit,params_NFLX_CHTR_z_stop_scaler,params_NFLX_CHTR_z_win,params_NFLX_CTAS_beta_win,params_NFLX_CTAS_stop_loss,params_NFLX_CTAS_trade_freq,params_NFLX_CTAS_z_entry,params_NFLX_CTAS_z_exit,params_NFLX_CTAS_z_stop_scaler,params_NFLX_CTAS_z_win,params_PTON_CTAS_beta_win,params_PTON_CTAS_stop_loss,params_PTON_CTAS_trade_freq,params_PTON_CTAS_z_entry,params_PTON_CTAS_z_exit,params_PTON_CTAS_z_stop_scaler,params_PTON_CTAS_z_win,params_PTON_SGEN_beta_win,params_PTON_SGEN_stop_loss,params_PTON_SGEN_trade_freq,params_PTON_SGEN_z_entry,params_PTON_SGEN_z_exit,params_PTON_SGEN_z_stop_scaler,params_PTON_SGEN_z_win,params_PTON_XLNX_beta_win,params_PTON_XLNX_stop_loss,params_PTON_XLNX_trade_freq,params_PTON_XLNX_z_entry,params_PTON_XLNX_z_exit,params_PTON_XLNX_z_stop_scaler,params_PTON_XLNX_z_win,params_QCOM_CTAS_beta_win,params_QCOM_CTAS_stop_loss,params_QCOM_CTAS_trade_freq,params_QCOM_CTAS_z_entry,params_QCOM_CTAS_z_exit,params_QCOM_CTAS_z_stop_scaler,params_QCOM_CTAS_z_win,params_ROST_CTAS_beta_win,params_ROST_CTAS_stop_loss,params_ROST_CTAS_trade_freq,params_ROST_CTAS_z_entry,params_ROST_CTAS_z_exit,params_ROST_CTAS_z_stop_scaler,params_ROST_CTAS_z_win,params_SBUX_CTAS_beta_win,params_SBUX_CTAS_stop_loss,params_SBUX_CTAS_trade_freq,params_SBUX_CTAS_z_entry,params_SBUX_CTAS_z_exit,params_SBUX_CTAS_z_stop_scaler,params_SBUX_CTAS_z_win,params_SPLK_CTAS_beta_win,params_SPLK_CTAS_stop_loss,params_SPLK_CTAS_trade_freq,params_SPLK_CTAS_z_entry,params_SPLK_CTAS_z_exit,params_SPLK_CTAS_z_stop_scaler,params_SPLK_CTAS_z_win,params_TSLA_CTAS_beta_win,params_TSLA_CTAS_stop_loss,params_TSLA_CTAS_trade_freq,params_TSLA_CTAS_z_entry,params_TSLA_CTAS_z_exit,params_TSLA_CTAS_z_stop_scaler,params_TSLA_CTAS_z_win,params_ZM_CTAS_beta_win,params_ZM_CTAS_stop_loss,params_ZM_CTAS_trade_freq,params_ZM_CTAS_z_entry,params_ZM_CTAS_z_exit,params_ZM_CTAS_z_stop_scaler,params_ZM_CTAS_z_win,params_ZM_TEAM_beta_win,params_ZM_TEAM_stop_loss,params_ZM_TEAM_trade_freq,params_ZM_TEAM_z_entry,params_ZM_TEAM_z_exit,params_ZM_TEAM_z_stop_scaler,params_ZM_TEAM_z_win,params_buffer_capital,params_pairs_to_trade,state
51,51,1.030770780922589,2025-06-22 16:24:28.038826,2025-06-22 16:24:56.756453,0 days 00:00:28.717627,1864.0,0.04,1m,1.0,0.2,1.0,984.0,4968.0,0.02,4m,1.0,1.0,0.5,784.0,4064.0,0.05,1m,1.4,0.6000000000000001,0.5,808.0,6032.0,0.045000000000000005,2m,1.0,0.0,2.0,872.0,8024.0,0.05,2m,3.0,0.0,0.5,128.0,1464,0.035,3m,2.8,1.0,0.5,912,2376,0.05,5m,2.4000000000000004,1.0,0.5,632,6664.0,0.035,2m,1.4,0.6000000000000001,0.5,920.0,2856.0,0.025,1m,3.0,0.0,1.5,344.0,1688,0.03,3m,2.2,0.6000000000000001,2.0,616,1120.0,0.03,4m,2.4000000000000004,0.2,1.0,960.0,1888.0,0.025,4m,1.2,0.0,2.0,664.0,5896,0.04,2m,1.0,0.8,1.0,968,6960,0.045000000000000005,2m,2.2,0.2,2.0,616,5488,0.045000000000000005,3m,2.8,0.8,1.0,752,1960,0.05,2m,1.6,0.0,0.5,480,5384.0,0.04,2m,1.8,0.8,2.0,560.0,,,,,,,,5256.0,0.035,5m,2.2,0.6000000000000001,1.5,696.0,6192.0,0.025,3m,2.0,0.4,2.0,376.0,4120.0,0.035,4m,1.0,0.2,1.0,488.0,2736.0,0.03,1m,1.0,1.0,2.0,912.0,1608,0.045000000000000005,5m,2.4000000000000004,0.2,2.0,880,7384,0.025,3m,2.4000000000000004,1.0,1.5,976,1088,0.045000000000000005,2m,2.0,0.2,1.5,640,6416.0,0.05,3m,2.8,0.2,0.5,576.0,6120.0,0.015,1m,1.2,1.0,2.0,200.0,4824.0,0.015,4m,2.8,1.0,2.0,848.0,2672.0,0.025,5m,1.0,0.0,1.0,776.0,7376.0,0.03,3m,2.6,0.6000000000000001,1.0,520.0,0.3,29,COMPLETE
52,52,1.019166499750911,2025-06-22 16:24:56.802260,2025-06-22 16:25:27.652876,0 days 00:00:30.850616,2032.0,0.045000000000000005,1m,1.0,0.0,1.0,912.0,5168.0,0.025,4m,1.2,1.0,0.5,816.0,4512.0,0.05,1m,1.4,0.8,0.5,784.0,6880.0,0.045000000000000005,2m,1.0,0.0,2.0,912.0,5864.0,0.035,2m,2.4000000000000004,0.4,0.5,168.0,2024,0.035,3m,2.8,1.0,0.5,944,1352,0.045000000000000005,5m,2.4000000000000004,1.0,0.5,608,5440.0,0.035,2m,1.2,0.8,0.5,912.0,3160.0,0.02,1m,3.0,0.0,1.5,376.0,1816,0.035,3m,2.8,0.6000000000000001,2.0,656,2048.0,0.04,4m,2.4000000000000004,0.2,1.0,656.0,1848.0,0.025,4m,1.0,0.2,2.0,704.0,6672,0.04,2m,1.0,1.0,1.5,984,5248,0.045000000000000005,2m,2.4000000000000004,0.2,2.0,560,5168,0.045000000000000005,3m,2.6,0.8,1.0,736,1896,0.045000000000000005,2m,1.6,0.0,0.5,392,6104.0,0.04,2m,1.6,0.8,2.0,568.0,8192.0,0.01,1m,3.0,0.0,2.0,1016.0,5640.0,0.04,5m,2.4000000000000004,0.6000000000000001,1.5,600.0,5320.0,0.025,3m,2.0,0.4,2.0,528.0,2696.0,0.035,4m,1.2,0.0,1.0,352.0,2736.0,0.03,1m,1.2,1.0,2.0,784.0,1768,0.05,5m,2.8,0.2,2.0,976,7944,0.025,3m,2.6,1.0,1.5,992,1520,0.045000000000000005,2m,2.2,0.0,1.5,696,5688.0,0.045000000000000005,3m,2.4000000000000004,0.2,0.5,584.0,6480.0,0.01,1m,1.0,1.0,2.0,232.0,4544.0,0.015,4m,2.6,1.0,2.0,768.0,2528.0,0.03,5m,1.0,0.2,1.0,512.0,7168.0,0.035,3m,2.6,0.6000000000000001,0.5,256.0,0.3,30,COMPLETE
53,53,0.9848870899498062,2025-06-22 16:25:27.695398,2025-06-22 16:25:59.264260,0 days 00:00:31.568862,1392.0,0.04,1m,1.2,0.0,1.0,912.0,4472.0,0.015,4m,1.0,1.0,0.5,464.0,3848.0,0.045000000000000005,1m,1.6,0.6000000000000001,0.5,728.0,7608.0,0.05,2m,1.2,0.2,2.0,944.0,5984.0,0.035,4m,2.2,0.2,1.0,696.0,1616,0.04,3m,2.6,1.0,0.5,744,2096,0.05,5m,2.8,0.8,0.5,736,6368.0,0.03,2m,1.4,0.6000000000000001,0.5,704.0,4424.0,0.025,1m,2.8,0.0,1.5,256.0,1368,0.025,3m,2.4000000000000004,0.4,2.0,704,1848.0,0.035,4m,1.8,0.0,1.5,1000.0,3128.0,0.015,4m,1.4,0.0,2.0,944.0,6400,0.04,2m,1.2,0.8,0.5,856,8168,0.045000000000000005,2m,2.2,0.0,2.0,608,3840,0.04,3m,2.6,0.8,1.0,808,1760,0.05,2m,1.4,0.0,0.5,480,8120.0,0.035,2m,1.8,1.0,2.0,520.0,7864.0,0.01,1m,3.0,0.0,2.0,960.0,4568.0,0.03,5m,2.0,0.8,1.5,736.0,6776.0,0.025,3m,1.8,0.2,1.0,256.0,4640.0,0.03,4m,2.0,0.4,1.0,576.0,1080.0,0.025,1m,1.0,0.0,2.0,872.0,1368,0.05,5m,2.8,0.0,2.0,864,6648,0.02,3m,2.4000000000000004,1.0,1.5,912,1120,0.045000000000000005,2m,2.0,0.2,1.5,520,7080.0,0.05,3m,2.6,0.6000000000000001,0.5,528.0,7232.0,0.02,1m,2.0,1.0,2.0,168.0,5368.0,0.02,4m,3.0,1.0,2.0,808.0,1176.0,0.02,1m,1.4,0.2,0.5,912.0,5200.0,0.025,3m,2.2,0.8,1.5,552.0,0.3,30,COMPLETE
54,54,0.906271466664339,2025-06-22 16:25:59.302494,2025-06-22 16:26:24.666476,0 days 00:00:25.363982,2736.0,0.035,1m,1.6,0.2,1.0,1024.0,5344.0,0.025,4m,1.2,1.0,0.5,776.0,2840.0,0.05,4m,1.4,0.6000000000000001,0.5,856.0,6000.0,0.04,5m,2.0,0.0,2.0,792.0,,,,,,,,1760,0.035,5m,2.8,0.8,0.5,976,1928,0.05,5m,1.8,1.0,0.5,536,7240.0,0.035,1m,1.2,0.8,1.0,808.0,3792.0,0.03,1m,2.2,0.0,1.5,280.0,2000,0.04,3m,2.6,0.6000000000000001,1.5,776,1056.0,0.025,4m,3.0,0.2,0.5,544.0,1624.0,0.01,4m,1.2,0.0,2.0,576.0,4432,0.05,3m,1.4,0.8,1.0,992,7360,0.05,2m,1.8,0.0,2.0,992,3168,0.05,5m,2.8,0.6000000000000001,0.5,680,3048,0.05,2m,1.8,0.2,0.5,648,6464.0,0.05,2m,1.6,0.6000000000000001,2.0,424.0,,,,,,,,6832.0,0.045000000000000005,5m,1.8,0.6000000000000001,1.0,624.0,5096.0,0.015,3m,2.4000000000000004,0.4,1.5,128.0,2952.0,0.04,5m,1.2,0.2,1.5,344.0,5792.0,0.015,2m,1.2,1.0,1.5,640.0,2256,0.045000000000000005,5m,2.2,0.4,1.5,696,7152,0.03,3m,2.8,0.8,1.0,792,2576,0.05,2m,1.8,0.2,1.0,608,6456.0,0.05,3m,3.0,0.0,1.0,464.0,5784.0,0.015,1m,1.4,0.8,1.5,352.0,3536.0,0.02,4m,3.0,1.0,2.0,760.0,2104.0,0.04,5m,2.6,0.2,1.5,600.0,6336.0,0.03,5m,2.8,0.6000000000000001,1.0,424.0,0.35000000000000003,28,COMPLETE
55,55,0.9814437865932368,2025-06-22 16:26:24.711369,2025-06-22 16:26:48.957171,0 days 00:00:24.245802,1688.0,0.04,2m,2.0,0.0,1.5,360.0,5872.0,0.02,3m,1.8,0.8,0.5,888.0,4920.0,0.05,1m,1.8,0.4,0.5,880.0,7176.0,0.035,2m,1.4,0.0,2.0,888.0,,,,,,,,2728,0.025,3m,1.8,1.0,0.5,896,1280,0.045000000000000005,5m,2.2,0.6000000000000001,0.5,688,5920.0,0.04,2m,1.0,0.0,0.5,744.0,2448.0,0.015,1m,2.6,0.0,2.0,208.0,1664,0.03,3m,2.4000000000000004,0.4,2.0,584,2288.0,0.045000000000000005,4m,2.4000000000000004,0.4,1.0,728.0,2792.0,0.02,4m,1.6,0.2,1.5,816.0,6464,0.035,2m,1.0,1.0,0.5,136,7792,0.035,5m,2.0,0.0,2.0,512,5920,0.04,3m,2.6,1.0,1.0,784,1224,0.045000000000000005,2m,1.4,0.0,0.5,256,3688.0,0.02,4m,2.0,0.8,2.0,616.0,,,,,,,,3176.0,0.025,3m,2.8,0.4,1.5,896.0,4336.0,0.015,4m,1.8,0.6000000000000001,1.0,392.0,,,,,,,,2112.0,0.045000000000000005,1m,1.4,0.8,0.5,976.0,6224,0.04,3m,2.6,0.0,1.5,776,1352,0.025,3m,2.2,1.0,1.5,216,2232,0.04,3m,1.4,0.0,2.0,760,5048.0,0.045000000000000005,4m,2.8,0.2,0.5,728.0,6208.0,0.02,3m,1.8,1.0,2.0,224.0,2712.0,0.015,3m,3.0,1.0,1.0,568.0,,,,,,,,7376.0,0.015,3m,1.8,0.4,1.5,624.0,0.25,26,COMPLETE
56,56,0.9299457044984399,2025-06-22 16:26:49.014971,2025-06-22 16:27:01.623060,0 days 00:00:12.608089,,,,,,,,3928.0,0.015,1m,2.6,0.0,1.0,744.0,,,,,,,,,,,,,,,,,,,,,,5016,0.03,3m,3.0,1.0,0.5,840,2928,0.045000000000000005,1m,2.0,1.0,1.5,848,,,,,,,,,,,,,,,5864,0.025,1m,2.0,0.8,2.0,752,,,,,,,,,,,,,,,7432,0.045000000000000005,3m,1.2,1.0,1.5,256,4896,0.04,2m,2.2,0.2,2.0,592,4824,0.045000000000000005,5m,1.2,0.6000000000000001,1.5,608,2120,0.05,4m,2.0,0.4,2.0,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5648,0.045000000000000005,5m,2.0,0.2,2.0,840,7600,0.03,2m,2.8,0.8,2.0,720,3024,0.04,2m,1.6,0.4,1.5,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,11,COMPLETE
57,57,0.965031916277686,2025-06-22 16:27:01.675681,2025-06-22 16:27:17.450735,0 days 00:00:15.775054,1032.0,0.035,3m,1.4,0.4,1.0,976.0,5328.0,0.02,4m,1.6,1.0,0.5,944.0,4288.0,0.045000000000000005,4m,1.2,0.8,1.0,976.0,6528.0,0.04,5m,1.2,1.0,2.0,968.0,,,,,,,,1904,0.04,1m,2.6,0.2,2.0,664,2272,0.05,1m,1.6,1.0,1.0,768,,,,,,,,,,,,,,,2352,0.035,3m,1.0,1.0,2.0,440,,,,,,,,,,,,,,,7080,0.035,3m,2.0,0.2,1.0,320,4408,0.05,2m,2.4000000000000004,1.0,1.5,808,5216,0.05,3m,2.0,0.8,0.5,432,6312,0.04,5m,1.6,0.2,0.5,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5048,0.05,5m,2.4000000000000004,0.4,1.0,304,6344,0.025,4m,1.8,1.0,1.5,664,8088,0.045000000000000005,1m,1.8,0.2,1.0,456,7112.0,0.025,5m,1.0,0.0,0.5,304.0,8152.0,0.01,3m,2.4000000000000004,0.8,2.0,168.0,4376.0,0.045000000000000005,4m,2.8,0.8,0.5,680.0,,,,,,,,,,,,,,,0.35000000000000003,17,COMPLETE
58,58,1.075458706166665,2025-06-22 16:27:17.504834,2025-06-22 16:27:41.013185,0 days 00:00:23.508351,3104.0,0.025,1m,1.0,1.0,1.5,840.0,4552.0,0.015,5m,1.4,0.0,1.5,576.0,3496.0,0.035,2m,1.4,0.2,0.5,912.0,5224.0,0.025,2m,1.0,0.4,2.0,864.0,,,,,,,,1032,0.035,2m,1.6,0.8,1.0,600,2448,0.05,1m,2.0,0.6000000000000001,0.5,592,5240.0,0.025,1m,1.8,0.6000000000000001,1.0,640.0,1544.0,0.03,3m,3.0,0.2,1.0,504.0,1176,0.025,5m,2.4000000000000004,0.6000000000000001,2.0,528,,,,,,,,4256.0,0.035,2m,2.0,0.6000000000000001,2.0,584.0,5344,0.05,2m,1.4,0.8,1.5,400,5936,0.045000000000000005,1m,1.8,0.2,2.0,464,2200,0.04,5m,1.0,0.6000000000000001,1.0,720,2616,0.045000000000000005,2m,1.8,0.0,2.0,440,4704.0,0.025,4m,1.2,1.0,1.5,296.0,,,,,,,,5136.0,0.035,5m,2.2,0.2,2.0,928.0,,,,,,,,,,,,,,,1480.0,0.03,5m,1.8,1.0,2.0,824.0,3952,0.035,3m,2.4000000000000004,0.2,1.5,824,5544,0.02,3m,2.0,0.8,1.0,1024,1680,0.05,4m,2.8,0.0,1.0,616,5936.0,0.04,3m,2.6,0.8,1.0,656.0,5144.0,0.015,5m,1.0,0.0,2.0,264.0,2176.0,0.015,2m,1.8,1.0,1.5,216.0,,,,,,,,,,,,,,,0.2,23,COMPLETE
59,59,0.9876199542060284,2025-06-22 16:27:41.054266,2025-06-22 16:28:02.789707,0 days 00:00:21.735441,3168.0,0.025,4m,1.2,1.0,1.5,848.0,7624.0,0.015,5m,1.4,0.0,1.5,648.0,3072.0,0.035,2m,1.6,0.2,0.5,920.0,5312.0,0.025,5m,1.8,0.4,1.5,800.0,,,,,,,,1168,0.01,2m,1.6,0.8,1.0,608,3296,0.05,1m,2.0,0.6000000000000001,0.5,456,4720.0,0.025,1m,1.8,0.8,1.0,640.0,1560.0,0.03,3m,2.4000000000000004,0.2,1.0,512.0,1024,0.02,5m,2.0,0.8,1.5,456,,,,,,,,4792.0,0.04,2m,2.0,0.6000000000000001,1.5,584.0,5304,0.05,5m,1.4,0.4,1.5,400,5520,0.03,1m,1.8,0.4,1.5,440,2880,0.035,5m,1.0,0.6000000000000001,1.0,632,3832,0.045000000000000005,1m,1.8,0.2,2.0,672,4576.0,0.025,4m,1.2,1.0,1.5,192.0,,,,,,,,4560.0,0.03,5m,1.6,0.2,2.0,960.0,,,,,,,,,,,,,,,1440.0,0.035,5m,2.0,1.0,2.0,656.0,3312,0.035,3m,1.2,0.0,1.5,640,5792,0.015,5m,2.0,0.6000000000000001,1.0,936,1744,0.05,4m,2.8,0.0,1.0,840,5912.0,0.04,2m,2.2,0.8,1.0,672.0,5272.0,0.015,5m,2.4000000000000004,0.0,1.5,720.0,1440.0,0.025,2m,1.8,0.8,1.5,176.0,,,,,,,,,,,,,,,0.15000000000000002,23,COMPLETE
60,60,1.0421644940718697,2025-06-22 16:28:02.845826,2025-06-22 16:28:23.257089,0 days 00:00:20.411263,4000.0,0.02,1m,1.8,1.0,1.5,912.0,4440.0,0.04,5m,3.0,0.0,1.5,448.0,5176.0,0.03,2m,2.0,0.2,1.0,304.0,4576.0,0.02,2m,1.4,0.4,2.0,424.0,,,,,,,,5712,0.03,2m,1.8,0.8,1.5,168,5744,0.05,1m,1.4,0.6000000000000001,1.0,816,4424.0,0.02,1m,1.6,0.6000000000000001,1.0,680.0,4544.0,0.05,3m,2.8,0.4,0.5,616.0,1272,0.025,5m,2.2,0.4,2.0,512,,,,,,,,,,,,,,,5024,0.045000000000000005,3m,1.8,0.0,2.0,368,5864,0.04,1m,1.8,1.0,0.5,360,2104,0.04,5m,1.0,0.4,0.5,664,2616,0.035,5m,2.0,1.0,2.0,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7016.0,0.02,5m,1.8,0.8,1.5,248.0,2568,0.035,3m,3.0,0.4,1.5,816,2016,0.02,2m,2.0,0.8,1.0,1016,2720,0.05,4m,3.0,0.0,1.0,696,5440.0,0.04,5m,2.6,1.0,1.0,760.0,4240.0,0.02,5m,1.6,0.0,2.0,288.0,2216.0,0.015,2m,2.0,1.0,1.5,200.0,,,,,,,,,,,,,,,0.2,20,COMPLETE
61,61,1.0008322975001278,2025-06-22 16:28:23.287379,2025-06-22 16:28:43.054370,0 days 00:00:19.766991,4008.0,0.02,1m,1.8,1.0,1.5,912.0,4392.0,0.045000000000000005,5m,3.0,0.0,1.5,600.0,5456.0,0.03,2m,2.0,0.2,1.0,184.0,4648.0,0.02,2m,1.4,0.4,2.0,280.0,,,,,,,,5552,0.03,2m,1.8,0.8,1.5,144,5296,0.05,1m,1.4,0.6000000000000001,1.0,808,4488.0,0.02,1m,1.8,0.6000000000000001,1.0,672.0,4728.0,0.05,3m,2.8,0.4,0.5,608.0,1240,0.025,5m,2.2,0.4,2.0,384,,,,,,,,,,,,,,,5560,0.045000000000000005,3m,1.8,0.0,2.0,376,6368,0.04,1m,1.8,1.0,0.5,464,2080,0.04,5m,1.0,0.4,0.5,680,2488,0.035,5m,2.0,1.0,2.0,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7304.0,0.02,5m,1.8,0.8,1.5,248.0,3952,0.035,3m,3.0,0.4,1.5,816,2000,0.02,2m,2.0,0.8,1.0,1024,4136,0.05,4m,3.0,0.0,1.0,688,5288.0,0.04,5m,2.6,1.0,1.0,752.0,4912.0,0.02,5m,1.6,0.0,2.0,288.0,2168.0,0.015,2m,2.0,1.0,1.5,216.0,,,,,,,,,,,,,,,0.2,20,COMPLETE
62,62,1.0120383350947069,2025-06-22 16:28:43.109012,2025-06-22 16:29:01.997840,0 days 00:00:18.888828,3472.0,0.02,1m,2.0,1.0,1.5,128.0,4728.0,0.045000000000000005,5m,2.8,0.0,1.5,584.0,5112.0,0.035,2m,1.8,0.2,1.0,304.0,4632.0,0.025,2m,1.2,0.4,2.0,376.0,,,,,,,,6440,0.025,2m,1.4,0.8,2.0,200,5760,0.05,1m,1.4,0.8,0.5,728,5184.0,0.025,1m,1.6,0.6000000000000001,1.0,736.0,,,,,,,,1536,0.02,5m,2.4000000000000004,0.4,2.0,544,,,,,,,,,,,,,,,5120,0.05,3m,1.4,0.0,2.0,312,5832,0.035,1m,1.8,1.0,0.5,352,2280,0.04,5m,1.2,0.4,0.5,568,2720,0.04,5m,2.2,1.0,2.0,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2120,0.035,3m,3.0,0.4,1.5,760,2120,0.02,2m,1.8,0.8,1.0,872,3400,0.05,4m,3.0,0.0,1.0,552,4504.0,0.035,5m,2.4000000000000004,0.8,1.0,944.0,5504.0,0.025,5m,1.2,0.0,2.0,240.0,2624.0,0.02,2m,2.0,1.0,1.5,376.0,,,,,,,,,,,,,,,0.15000000000000002,18,COMPLETE
63,63,0.9429294764301349,2025-06-22 16:29:02.033941,2025-06-22 16:29:24.581692,0 days 00:00:22.547751,4232.0,0.025,1m,1.6,0.8,1.5,792.0,3464.0,0.04,5m,3.0,0.2,1.5,448.0,3528.0,0.025,2m,1.6,0.0,1.0,272.0,3760.0,0.025,2m,1.6,0.4,2.0,344.0,,,,,,,,7192,0.035,2m,2.0,0.6000000000000001,1.5,232,4728,0.05,1m,1.2,0.6000000000000001,1.0,920,3824.0,0.02,1m,2.0,0.8,1.0,616.0,5032.0,0.05,3m,2.6,0.4,0.5,952.0,2176,0.015,5m,2.2,0.2,2.0,512,,,,,,,,4168.0,0.035,2m,2.4000000000000004,0.6000000000000001,2.0,456.0,4688,0.05,3m,1.6,0.0,2.0,368,4888,0.045000000000000005,1m,2.0,1.0,0.5,208,1720,0.03,5m,1.0,0.4,0.5,664,3248,0.045000000000000005,5m,1.8,0.8,2.0,872,4648.0,0.015,4m,1.0,1.0,1.5,248.0,,,,,,,,1864.0,0.015,5m,2.4000000000000004,0.0,2.0,928.0,,,,,,,,,,,,,,,7064.0,0.025,5m,1.8,0.8,1.5,184.0,2504,0.03,3m,2.6,0.6000000000000001,1.5,704,5504,0.02,2m,1.6,0.8,1.0,952,2704,0.05,4m,2.8,0.0,1.0,648,5672.0,0.045000000000000005,5m,2.6,1.0,1.0,656.0,5040.0,0.02,5m,1.6,0.0,2.0,128.0,1024.0,0.01,2m,1.6,1.0,1.5,176.0,,,,,,,,,,,,,,,0.2,23,COMPLETE
